"x","y"
NA,NA
0.314145785909686,0.495909066720307
0.415533974338731,0.169155423182138
0.241650604545912,0.492757102313186
NA,NA
0.647203358262095,0.258461081383889
0.2857781062456,0.60097454695766
0.410280700326864,0.118723992668209
0.624088952609877,0.0777484553756413
0.416584629141105,0.154446255948909
NA,NA
0.267391647204064,0.519023472372524
NA,NA
0.222738818103189,0.559473682263905
0.624614280011064,0.112945391255155
0.582588087916123,0.524276746384392
0.578910796107815,0.49538373931912
0.3215003695263,0.526903383390326
0.622512970406317,0.127129231087197
0.168104768379765,0.168630095780952
0.308367184496631,0.506415614744042
0.640374102046667,0.329380280544102
0.647203358262095,0.279999504832546
0.621462315603943,0.0630392881424119
NA,NA
0.40765406332093,0.0992868788242987
0.581012105712563,0.482775881690637
0.652456632273963,0.318873732520367
0.111369409051594,0.372982454842603
0.110844081650408,0.362475906818868
0.626190262214624,0.0966602418183648
0.618310351196823,0.158648875158403
0.314671113310872,0.551068443844917
0.291556707658655,0.580486778311376
NA,NA
NA,NA
0.168104768379765,0.200149739852158
0.179136643804687,0.0977108966207384
NA,NA
0.172307387589259,0.182813935612994
0.180187298607061,0.0845777115910692
0.200675067253344,0.509042251749976
0.206453668666399,0.532156657402193
0.617785023795636,0.143414380523987
0.17545935199638,0.152870273745349
0.179661971205874,0.135009142104999
0.108217444644474,0.349342721789199
0.1786113164035,0.116097355662275
0.574708176898321,0.538985913617621
0.658235233687017,0.242175931947099
NA,NA
0.65613392408227,0.296284654269336
0.177560661601127,0.0661912525495324
0.26318902799457,0.540561895821182
NA,NA
0.413432664733984,0.130806522895505
NA,NA
0.640899429447854,0.339886828567837
0.201200394654531,0.549492461641357
0.290506052856281,0.564726956275773
0.619886333400383,0.507466269546415
NA,NA
