"","D1","D2"
"1",0.588437059884222,0.263336080706892
"2",-0.97330269180685,0.550605765757464
"3",0.588022621514708,-0.389683373420807
"4",-0.538980242130163,-0.331149264471546
"5",0.233393319961085,0.422221484816857
"6",0.566620728779439,0.304806274443695
"7",-0.914502804592692,0.404404879787482
"8",0.63107110361417,-0.0300969011308501
"9",0.389539333979313,0.343277510528215
"10",0.507492446103812,-0.331160834126
"11",-0.695372444068676,-0.354255533058566
"12",-0.590765347487439,-0.057830297237396
"13",-0.49724618847153,-0.275301519967201
"14",-0.52973119806161,-0.334215081831714
"15",0.545166584468316,0.407026811069972
"16",-0.24079288851857,-0.154990252046417
"17",-0.178233800365235,-0.142854215750447
"18",-0.792778314717128,0.517239326485257
"19",0.603305489133436,0.340357677284866
"20",0.0708416420877827,-0.707324664860446
"21",-0.851547196874646,-0.0259900351639009
"22",0.375426858686564,0.44325066197015
"23",0.361132783680516,0.442177035045338
"24",0.644020200377159,0.274022853938082
"25",0.386330993341117,0.295106760074148
"26",0.5586369205828,-0.178211616096147
"27",-0.361889570580007,0.102207668761997
"28",0.347353198758722,0.525971403600819
"29",0.0399714721866922,-0.97823321505931
"30",-0.231714348300639,-0.686073292416052
"31",0.636778253825819,0.261588227115539
"32",0.496319767335545,0.288909168415288
"33",-0.871733964441306,0.522463303134752
"34",-0.605877103375784,-0.209104436386449
"35",-0.674467244011857,0.351457229013911
"36",0.422802084174952,0.449218688298233
"37",0.160284132783825,-0.779893375764968
"38",0.472675757848999,-0.624182660508999
"39",-0.868506439522032,0.215872658761495
"40",0.000327467397331828,-0.0490389958173003
"41",0.501679405048177,-0.623780350690209
"42",-0.567481310530292,0.407778194246063
"43",0.0773769108604591,-0.745520331391091
"44",-0.713727144621963,-0.112063354372393
"45",0.350807487385312,-0.707546849868208
"46",0.0412805031926472,-0.832422096959806
"47",-0.0377470210454571,-0.750820946288794
"48",-0.0955368651805435,-0.851446305149773
"49",-0.170478521715681,-0.0386021685450607
"50",0.268792409107793,0.549762946513048
"51",-0.0125502838430171,0.590490547396471
"52",0.361920451335525,0.433906272530334
"53",0.516455168225705,-0.59139304468188
"54",-0.87184540730239,0.521743308544445
"55",0.590020966264943,0.345754610220716
"56",0.571829779179383,-0.205598168826973
"57",0.569796802672769,0.188921385503727
"58",0.351224479537095,0.200531622104886
"59",-0.705284141940377,0.268066744892984
"60",-0.693780599338189,0.57825277635332
"61",0.0903186338878913,0.0156406917585104
"62",0.368419865640133,0.272412612813795
